ruleset,simulation_id,sim_type,roster,agent,mean_score,ci_halfwidth_score,win_rate_percent,ci_halfwidth_win_rate_percent,convergence_round,baseline_mean_random,delta_vs_random_mean,delta_vs_random_ci_low,delta_vs_random_ci_high,delta_vs_random_per_round,cliffs_delta_vs_random
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 1,83.3337,0.12728711705096885,30.796666666666674,0.9046955605828466,44,83.3498,-0.016100000000008663,-0.16164666666667457,0.12776916666667296,-0.00016100000000008664,0.00056725
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 2,83.3238,0.1271808403503627,30.86166666666667,0.9052241318704191,40,83.3498,-0.02599999999999625,-0.15850166666667037,0.11918000000000532,-0.00025999999999996246,-0.01458075
baseline,1,1v3,Random | Random | Random | Leader Copier,Random 3,83.3919,0.12834992713064253,31.36166666666666,0.9092201599314009,41,83.3498,0.04210000000000491,-0.10497833333333624,0.19457333333332652,0.0004210000000000491,0.00616975
baseline,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,77.7354,0.11933502106749927,6.98,0.4996042288874,78,83.3498,-5.614400000000003,-5.752607500000001,-5.472166666666654,-0.056144000000000034,-0.47875625
baseline,2,1v3,Random | Random | Random | Self Copier,Random 1,83.2989,0.126509953211567,29.51666666666667,0.8938535250114565,40,83.28103333333334,0.017866666666662923,-0.13021583333333525,0.16354083333333375,0.00017866666666662922,0.025926
baseline,2,1v3,Random | Random | Random | Self Copier,Random 2,83.2375,0.12699271195580764,29.161666666666658,0.8906981165005157,39,83.28103333333334,-0.043533333333343194,-0.18647333333332766,0.10554250000000612,-0.0004353333333334319,0.000162
baseline,2,1v3,Random | Random | Random | Self Copier,Random 3,83.3067,0.12727004828464317,29.758333333333336,0.895964327215204,40,83.28103333333334,0.02566666666666606,-0.11538250000000687,0.1762524999999953,0.0002566666666666606,0.01747175
baseline,2,1v3,Random | Random | Random | Self Copier,Self Copier,83.1005,0.07544518761056906,11.563333333333333,0.6268314941765594,47,83.28103333333334,-0.18053333333334365,-0.2832716666666766,-0.07449666666666739,-0.0018053333333334365,0.0006965
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 1,83.7673,0.12449500535117863,33.34833333333333,0.9239014398202072,40,83.74813333333333,0.019166666666677656,-0.12338000000000128,0.16665583333333653,0.00019166666666677656,0.01304475
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 2,83.6633,0.12469017248945136,32.79833333333333,0.9200253039373496,40,83.74813333333333,-0.08483333333332155,-0.23217833333333715,0.06517583333332264,-0.0008483333333332155,0.0176575
baseline,3,1v3,Random | Random | Random | Frequency Copier,Random 3,83.8138,0.1250507651362227,33.85333333333333,0.9273359086529931,43,83.74813333333333,0.06566666666667231,-0.08294333333334336,0.20971916666667834,0.0006566666666667231,0.0439595
baseline,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,51.2836,0.09846165812405872,0.0,0.019200623888327058,26,83.74813333333333,-32.46453333333333,-32.589708333333334,-32.343644999999995,-0.3246453333333333,-0.999935
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 1,82.635,0.13029002347464314,0.0,0.019200623888327058,41,82.64556666666667,-0.010566666666662172,-0.1612424999999952,0.14262916666665418,-0.00010566666666662173,0.00628475
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 2,82.6836,0.1299533020742416,0.0,0.019200623888327058,38,82.64556666666667,0.03803333333333114,-0.11659250000000333,0.18290583333333676,0.0003803333333333114,0.004395
baseline,4,1v3,Random | Random | Random | Anti Copier,Random 3,82.6181,0.12953482696666185,0.0,0.019200623888327058,42,82.64556666666667,-0.02746666666666897,-0.17800416666667793,0.12154166666666515,-0.0002746666666666897,-0.021737
baseline,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,124.3694,0.10162639140048668,100.0,0.019200623888326884,53,82.64556666666667,41.72383333333333,41.59456083333333,41.848747499999995,0.4172383333333333,1.0
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,66.4442,0.3411048618778949,20.265833333333333,0.7878122896148115,30,66.46875,-0.024550000000004957,-0.4392112499999996,0.3753649999999954,-0.00024550000000004955,0.01167925
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,66.4933,0.3420310675482199,20.179166666666664,0.7865538188825655,29,66.46875,0.024550000000004957,-0.39393625000000226,0.4278775000000062,0.00024550000000004955,0.02054325
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,69.119,0.21649904851069834,17.494166666666665,0.7445993643687726,41,66.46875,2.6502499999999998,2.322493749999991,2.962223749999996,0.0265025,0.13964825
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,70.8709,0.22369264438104608,42.06083333333333,0.967386190557501,34,66.46875,4.402150000000006,4.074497500000002,4.720403749999998,0.04402150000000006,0.19527175
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,58.4407,0.15702022468553878,2.098333333333333,0.28147145556745473,26,58.4427,-0.0020000000000024443,-0.18800750000000227,0.19798249999999876,-2.0000000000024444e-05,-0.009065
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,58.4447,0.15510004468900718,1.958333333333333,0.27215818904565875,27,58.4427,0.001999999999995339,-0.191207499999995,0.17945625000000276,1.9999999999953388e-05,-0.0013305
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,67.1545,0.1280615145151387,94.53833333333334,0.44561454251985655,28,58.4427,8.711799999999997,8.545510000000007,8.873357499999996,0.08711799999999997,0.60226775
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,54.7899,0.09675016362184863,1.405,0.2313956331454891,27,58.4427,-3.652799999999999,-3.794272499999998,-3.509091249999997,-0.03652799999999999,-0.30112275
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,81.0158,0.13126387280104268,0.0,0.019200623888327058,29,81.08605,-0.07025000000000148,-0.23073374999999885,0.08701000000000322,-0.0007025000000000147,0.00537725
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,81.1563,0.13050348181626248,0.0,0.019200623888327058,30,81.08605,0.07025000000000148,-0.09125625000000212,0.2294062499999981,0.0007025000000000147,0.017825
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,80.2038,0.13009420993985543,0.0,0.019200623888327058,67,81.08605,-0.8822499999999991,-1.0343700000000033,-0.7203924999999998,-0.00882249999999999,-0.04695575
baseline,7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,124.7776,0.10055577539193905,100.0,0.019200623888326884,52,81.08605,43.69155000000001,43.56184875000001,43.831953750000004,0.43691550000000007,1.0
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,56.6161,0.14391434252528512,8.546666666666667,0.5480927643728608,38,56.62355,-0.007449999999998624,-0.1894099999999991,0.16646249999999754,-7.449999999998624e-05,-0.033035
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Random 2,56.631,0.14328093742344805,8.851666666666667,0.5568452071637184,38,56.62355,0.007449999999998624,-0.1678512499999945,0.18091125000000113,7.449999999998624e-05,-0.03103825
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Self Copier,63.487,0.11316342147954117,82.53666666666666,0.7440822407055236,33,56.62355,6.86345,6.708968749999996,7.009412499999999,0.0686345,0.5182435
baseline,8,2v2,Random | Random | Self Copier | Frequency Copier,Frequency Copier,54.9182,0.09518432246313324,0.065,0.05349920286524851,27,56.62355,-1.7053500000000028,-1.8453574999999964,-1.5679887499999978,-0.017053500000000027,-0.1723345
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Random 1,80.7988,0.12357686345804098,0.0,0.019200623888327058,38,80.7966,0.002200000000001978,-0.14746874999999235,0.1552562499999954,2.2000000000019783e-05,-0.01276875
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Random 2,80.7944,0.1226566134654945,0.0,0.019200623888327058,39,80.7966,-0.002200000000001978,-0.15655124999999578,0.14920999999999363,-2.2000000000019783e-05,0.00192125
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Self Copier,81.0762,0.07897563873221713,0.0,0.019200623888327058,46,80.7966,0.27960000000000207,0.16434749999999881,0.39860875000000173,0.0027960000000000207,0.04067325
baseline,9,2v2,Random | Random | Self Copier | Anti Copier,Anti Copier,124.7215,0.10198753229543911,100.0,0.019200623888326884,52,80.7966,43.92490000000001,43.79069625,44.06378,0.43924900000000006,1.0
baseline,10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 1,91.1887,0.12883152130552844,0.0,0.019200623888327058,43,91.2288,-0.04010000000000957,-0.18922374999999966,0.11615625000000446,-0.0004010000000000957,0.0029845
baseline,10,2v2,Random | Random | Frequency Copier | Anti Copier,Random 2,91.2689,0.12762720696075291,0.0,0.019200623888327058,46,91.2288,0.04009999999999536,-0.10567874999999738,0.2029762500000013,0.00040099999999995364,-0.0186215
baseline,10,2v2,Random | Random | Frequency Copier | Anti Copier,Frequency Copier,50.2789,0.0996326026724077,0.0,0.019200623888327058,28,91.2288,-40.94990000000001,-41.078923749999994,-40.81185875,-0.40949900000000006,-0.99999975
baseline,10,2v2,Random | Random | Frequency Copier | Anti Copier,Anti Copier,124.6669,0.08978563581609933,100.0,0.019200623888326884,54,91.2288,33.43809999999999,33.31547875,33.56593625,0.33438099999999993,0.99998775
baseline,11,3v1,Leader Copier | Self Copier | Frequency Copier | Random,Leader Copier,58.1949,0.40724634834117523,73.62583333333333,0.8635771081086041,65,43.044,15.1509,14.660857500000006,15.624127499999998,0.151509,0.40573475
baseline,11,3v1,Leader Copier | Self Copier | Frequency Copier | Random,Self Copier,53.8851,0.34611362548736935,22.5075,0.8184690596948235,79,43.044,10.841100000000004,10.425597499999997,11.266237499999997,0.10841100000000005,0.34757975
baseline,11,3v1,Leader Copier | Self Copier | Frequency Copier | Random,Frequency Copier,46.5628,0.33570811848465354,0.019166666666666665,0.033230471166916006,74,43.044,3.518800000000006,3.1129925,3.9163100000000064,0.03518800000000006,0.100216
baseline,11,3v1,Leader Copier | Self Copier | Frequency Copier | Random,Random 1,43.044,0.21691109477512782,3.8475,0.3773304589541192,29,43.044,0.0,-0.3202024999999999,0.31394749999999666,0.0,0.0082025
baseline,12,3v1,Leader Copier | Self Copier | Anti Copier | Random,Leader Copier,82.3361,0.10173784204560832,0.0,0.019200623888327058,54,70.6985,11.637600000000006,11.479495000000002,11.795922500000003,0.11637600000000006,0.84447675
baseline,12,3v1,Leader Copier | Self Copier | Anti Copier | Random,Self Copier,82.5182,0.07430883491979046,0.0,0.019200623888327058,48,70.6985,11.819699999999997,11.678190000000004,11.965410000000002,0.11819699999999997,0.887774
baseline,12,3v1,Leader Copier | Self Copier | Anti Copier | Random,Anti Copier,128.0058,0.0927015838657681,100.0,0.019200623888326884,59,70.6985,57.3073,57.15339499999999,57.456305,0.5730729999999999,1.0
baseline,12,3v1,Leader Copier | Self Copier | Anti Copier | Random,Random 1,70.6985,0.11906461670007218,0.0,0.019200623888327058,39,70.6985,0.0,-0.1720124999999971,0.16930500000000667,0.0,-0.00435125
baseline,13,3v1,Leader Copier | Frequency Copier | Anti Copier | Random,Leader Copier,100.4438,0.1097491091006475,0.01,0.027431561810863744,68,65.7139,34.7299,34.56404750000001,34.88922,0.347299,0.99999
baseline,13,3v1,Leader Copier | Frequency Copier | Anti Copier | Random,Frequency Copier,51.1465,0.08938355913759466,0.0,0.019200623888327058,39,65.7139,-14.567399999999992,-14.721204999999996,-14.414984999999993,-0.14567399999999991,-0.94263275
baseline,13,3v1,Leader Copier | Frequency Copier | Anti Copier | Random,Anti Copier,118.965,0.08411806900394936,99.99,0.02743156181086448,62,65.7139,53.25110000000001,53.111197499999996,53.394502499999994,0.5325110000000001,1.0
baseline,13,3v1,Leader Copier | Frequency Copier | Anti Copier | Random,Random 1,65.7139,0.1216225363120742,0.0,0.019200623888327058,51,65.7139,0.0,-0.16952749999999953,0.17352499999999033,0.0,0.02211525
baseline,14,3v1,Self Copier | Frequency Copier | Anti Copier | Random,Self Copier,71.3337,0.09072172194801453,0.0,0.019200623888327058,24,55.4863,15.847399999999993,15.693492499999994,16.01350250000001,0.15847399999999992,0.958678
baseline,14,3v1,Self Copier | Frequency Copier | Anti Copier | Random,Frequency Copier,63.9229,0.08344806347294309,0.0,0.019200623888327058,36,55.4863,8.436599999999999,8.28489,8.598802499999998,0.08436599999999998,0.72578575
baseline,14,3v1,Self Copier | Frequency Copier | Anti Copier | Random,Anti Copier,105.711,0.07301326664621399,100.0,0.019200623888326884,38,55.4863,50.2247,50.0871875,50.3800175,0.502247,1.0
baseline,14,3v1,Self Copier | Frequency Copier | Anti Copier | Random,Random 1,55.4863,0.1224987745734083,0.0,0.019200623888327058,40,55.4863,0.0,-0.1724049999999961,0.18432750000000023,0.0,-0.01492975
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Leader Copier,16.9994,0.2888296029766657,1.624166666666666,0.24839914554308784,,nan,nan,nan,nan,nan,nan
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Self Copier,14.2828,0.23745066406959658,2.2425,0.29072325357187634,,nan,nan,nan,nan,nan,nan
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Frequency Copier,12.1229,0.2053105082024107,1.2091666666666663,0.21499557850743878,,nan,nan,nan,nan,nan,nan
baseline,15,4v0,Leader Copier | Self Copier | Frequency Copier | Anti Copier,Anti Copier,22.75,0.3827971043598808,94.92416666666666,0.430490668844985,,nan,nan,nan,nan,nan,nan
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 1,41.0904,0.09762867803515718,23.9125,0.8359359553269607,42,41.07063333333333,0.019766666666669153,-0.09140250000000005,0.13347416666667047,0.00019766666666669154,0.00228825
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 2,41.0373,0.09750243231050604,23.93083333333333,0.8361554731421861,41,41.07063333333333,-0.03333333333333144,-0.14277416666666679,0.07411916666666787,-0.0003333333333333144,-0.002935
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Random 3,41.0842,0.09742832791239664,24.604166666666664,0.8440723238676464,41,41.07063333333333,0.013566666666669391,-0.0982391666666663,0.12843833333333357,0.0001356666666666939,-0.00015375
no_rule1_pairs,1,1v3,Random | Random | Random | Leader Copier,Leader Copier,41.5573,0.09439966455968118,27.552500000000002,0.8755600236773131,34,41.07063333333333,0.4866666666666646,0.37762666666666184,0.5951633333333295,0.004866666666666646,0.04750925
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 1,41.1102,0.09688726176202067,25.606666666666666,0.8553468230993233,41,41.06466666666667,0.04553333333333143,-0.06900583333333579,0.15847666666666912,0.0004553333333333143,0.0055925
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 2,41.0528,0.0961255967389576,24.683333333333334,0.8449847371274799,41,41.06466666666667,-0.0118666666666698,-0.12300666666666427,0.09913500000000094,-0.00011866666666669801,-0.01044375
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Random 3,41.031,0.09786021477803786,24.788333333333334,0.8461889813770398,40,41.06466666666667,-0.03366666666666873,-0.147014166666672,0.08053500000000166,-0.0003366666666666873,-0.017497
no_rule1_pairs,2,1v3,Random | Random | Random | Self Copier,Self Copier,41.1091,0.09684787960347307,24.921666666666663,0.847708520109125,42,41.06466666666667,0.04443333333333044,-0.06950250000000491,0.15822083333333398,0.00044433333333330436,-0.002326
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 1,41.5974,0.1012422654325249,33.97,0.928112544580223,40,41.58043333333333,0.016966666666668573,-0.09610416666666541,0.1378691666666606,0.00016966666666668573,0.02566425
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 2,41.5565,0.10035511863489432,33.21,0.9229399079221157,41,41.58043333333333,-0.02393333333333203,-0.148925833333338,0.09376666666666722,-0.0002393333333333203,0.0062865
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Random 3,41.5874,0.10185262471667045,32.82,0.9201806968168691,42,41.58043333333333,0.006966666666670562,-0.11013583333333017,0.12558583333332957,6.966666666670562e-05,0.0337015
no_rule1_pairs,3,1v3,Random | Random | Random | Frequency Copier,Frequency Copier,9.1683,0.05688667442934481,0.0,0.019200623888327058,28,41.58043333333333,-32.41213333333333,-32.49460166666667,-32.33269583333334,-0.3241213333333333,-1.0
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 1,40.4655,0.09067950157979965,0.0,0.019200623888327058,41,40.449333333333335,0.016166666666663332,-0.0918583333333336,0.1242358333333362,0.0001616666666666333,-0.009053
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 2,40.4378,0.08931668120446545,0.0,0.019200623888327058,40,40.449333333333335,-0.011533333333332507,-0.11867583333332928,0.08590833333333552,-0.00011533333333332507,-0.011163
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Random 3,40.4447,0.09036358347181306,0.0,0.019200623888327058,40,40.449333333333335,-0.00463333333333793,-0.10701166666666602,0.0996400000000033,-4.63333333333793e-05,-0.04006675
no_rule1_pairs,4,1v3,Random | Random | Random | Anti Copier,Anti Copier,82.2327,0.0794469837254752,100.0,0.019200623888326884,53,40.449333333333335,41.78336666666666,41.68524333333334,41.87679083333334,0.4178336666666666,1.0
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Random 1,41.2203,0.1057253824677673,28.936666666666667,0.8886642242072196,49,41.2758,-0.055499999999995,-0.1836925000000001,0.08065624999999856,-0.00055499999999995,-0.00854875
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Random 2,41.3313,0.10644530607691394,29.485,0.893574708513023,53,41.2758,0.0555000000000021,-0.07092000000000187,0.18670875000000176,0.0005550000000000211,0.00410975
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Leader Copier,42.9222,0.1638479528225787,34.413333333333334,0.9310066727224786,52,41.2758,1.6463999999999999,1.464493750000001,1.8278212499999964,0.016464,0.037824
no_rule1_pairs,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,40.5529,0.11522642754062673,7.164999999999999,0.5056692404003429,71,41.2758,-0.7228999999999957,-0.8575112500000015,-0.5852375000000021,-0.007228999999999957,-0.10307625
